"Dia","Previsao","LI_80","LS_80","LI_95","LS_95"
1,-0.00136951418439446,-0.0342994554254537,0.0315604270566647,-0.0517315133272608,0.0489924849584719
2,0.000026312748993866,-0.0329834309332457,0.0330360564312334,-0.0504577336955942,0.0505103591935819
3,0.000454443387367826,-0.0325599585293176,0.0334688453040533,-0.0500367272120267,0.0509456139867624
4,-0.000370934257883466,-0.0334233247578658,0.0326814562420989,-0.0509202033818223,0.0501783348660554
5,-0.0000540980104457377,-0.033134347708,0.0330261516871085,-0.0506459741003055,0.0505377780794141
6,0.000374207847035697,-0.0327060913923295,0.0334545070864009,-0.0502177440104856,0.050966159704557
7,-0.000305918025661702,-0.0334090204098084,0.032797184358485,-0.0509327442836424,0.0503209082323189
8,-0.0000366001482078718,-0.0331582386422416,0.0330850383458259,-0.0506917749399259,0.0506185746435101
9,0.000300211272803662,-0.0328214348911573,0.0334218574367646,-0.0503549752490558,0.0509553977946631
10,-0.000251238261860404,-0.0333874852204148,0.032885008696694,-0.0509287547720856,0.0504262782483648
